Filename,ExecutionTime,K,MaxIters,Resolution,Pixels
00000052.jpg,17.5279,16,10,1600x1065,1704000
00000052_(2).jpg,14.0274,16,10,1600x900,1440000
00000052_(3).jpg,18.5759,16,10,1600x1067,1707200
00000052_(4).jpg,11.0470,16,10,1024x1024,1048576
00000052_(5).jpg,17.3878,16,10,1600x1066,1705600
00000052_(6).jpg,6.8491,16,10,1024x683,699392
00000053.jpg,16.4884,16,10,1600x1060,1696000
00000053_(2).jpg,14.6548,16,10,1600x962,1539200
00000053_(3).jpg,6.3840,16,10,1024x683,699392
00000053_(4).jpg,5.3241,16,10,1024x576,589824
00000053_(5).jpg,14.0902,16,10,1600x875,1400000
00000053_(6).jpg,2.5341,16,10,640x427,273280
00000054.jpg,13.5360,16,10,1600x898,1436800
00000054_(2).jpg,15.5482,16,10,1600x1071,1713600
00000054_(3).jpg,6.0503,16,10,1024x683,699392
00000054_(4).jpg,2.9410,16,10,480x640,307200
00000054_(5).jpg,5.8296,16,10,800x800,640000
00000054_(6).jpg,3.5135,16,10,1023x341,348843
00000054_(7).jpg,2.6646,16,10,430x640,275200
00000055.jpg,16.4920,16,10,1600x1060,1696000
00000055_(2).jpg,9.7481,16,10,1024x1024,1048576
00000055_(3).jpg,5.1781,16,10,950x602,571900
00000055_(4).jpg,15.8573,16,10,1600x1071,1713600
00000055_(5).jpg,3.6370,16,10,640x640,409600
00000055_(6).jpg,7.2800,16,10,1024x768,786432
00000056.jpg,15.0001,16,10,1600x1065,1704000
00000056_(2).jpg,6.0272,16,10,1024x681,697344
00000056_(3).jpg,15.2832,16,10,1600x1067,1707200
00000056_(4).jpg,5.6458,16,10,1024x550,563200
00000056_(5).jpg,5.4957,16,10,782x800,625600
00000056_(6).jpg,15.9589,16,10,1599x1066,1704534
00000057.jpg,5.8938,16,10,800x800,640000
00000057_(2).jpg,5.8164,16,10,800x800,640000
00000057_(3).jpg,6.4279,16,10,1024x683,699392
00000057_(4).jpg,4.6050,16,10,1024x501,513024
00000057_(5).jpg,15.4210,16,10,1600x1066,1705600
00000057_(6).jpg,6.4857,16,10,1000x669,669000
00000057_(7).jpg,16.7355,16,10,1600x1067,1707200
00000058.jpg,6.5325,16,10,800x800,640000
00000058_(2).jpg,7.2549,16,10,800x800,640000
00000058_(3).jpg,10.1286,16,10,1024x1024,1048576
00000058_(4).jpg,6.0965,16,10,800x800,640000
00000058_(5).jpg,15.7715,16,10,1600x1066,1705600
00000058_(6).jpg,15.4458,16,10,1600x1066,1705600
00000059.jpg,5.9065,16,10,800x800,640000
00000059_(2).jpg,5.9705,16,10,800x800,640000
00000059_(3).jpg,6.4672,16,10,1024x683,699392
00000059_(4).jpg,2.5768,16,10,640x426,272640
00000059_(5).jpg,10.1633,16,10,1024x1024,1048576
00000059_(6).jpg,7.2894,16,10,1024x768,786432
00000059_(7).jpg,4.0922,16,10,534x800,427200
00000060.jpg,13.0472,16,10,1600x900,1440000
00000060_(2).jpg,15.4477,16,10,1600x1066,1705600
00000060_(3).jpg,4.2814,16,10,1024x471,482304
00000060_(4).jpg,5.7704,16,10,800x800,640000
00000060_(5).jpg,5.8538,16,10,960x640,614400
00000060_(6).jpg,2.8118,16,10,640x480,307200
00000061.jpg,5.8167,16,10,800x800,640000
00000061_(2).jpg,15.9393,16,10,1600x1067,1707200
00000061_(3).jpg,15.7335,16,10,1600x1066,1705600
00000061_(4).jpg,6.4425,16,10,681x1024,697344
00000061_(5).jpg,15.2717,16,10,1599x1048,1675752
00000061_(6).jpg,6.5864,16,10,1023x678,693594
00000062.jpg,6.1981,16,10,1024x683,699392
00000062_(2).jpg,16.5025,16,10,1600x1067,1707200
00000062_(3).jpg,8.2893,16,10,683x1024,699392
00000062_(4).jpg,2.9758,16,10,640x427,273280
00000062_(5).jpg,8.2045,16,10,1000x669,669000
00000062_(6).jpg,10.3817,16,10,1024x768,786432
00000063.jpg,9.6592,16,10,1024x768,786432
00000063_(2).jpg,7.5972,16,10,800x800,640000
00000063_(3).jpg,4.2126,16,10,800x450,360000
00000063_(4).jpg,7.9596,16,10,1024x768,786432
00000063_(5).jpg,16.0254,16,10,1600x1067,1707200
00000063_(6).jpg,6.9752,16,10,1024x768,786432
00000064.jpg,4.1780,16,10,1024x436,446464
00000064_(2).jpg,14.1403,16,10,1600x991,1585600
00000064_(3).jpg,4.0610,16,10,1024x493,504832
00000064_(4).jpg,14.5032,16,10,1599x997,1594203
00000064_(5).jpg,7.2468,16,10,1024x712,729088
00000064_(6).jpg,2.5885,16,10,640x427,273280
00000064_(7).jpg,15.2716,16,10,1600x1060,1696000
00000065.jpg,4.5627,16,10,900x600,540000
00000065_(2).jpg,5.9384,16,10,1024x685,701440
00000065_(3).jpg,4.8500,16,10,905x600,543000
00000065_(4).jpg,6.0557,16,10,800x800,640000
00000065_(5).jpg,6.4658,16,10,1024x701,717824
00000065_(6).jpg,14.7219,16,10,1600x1063,1700800
00000066.jpg,14.6411,16,10,1600x1067,1707200
00000066_(2).jpg,5.8782,16,10,1024x681,697344
00000066_(3).jpg,5.9953,16,10,1024x662,677888
00000066_(4).jpg,2.1939,16,10,640x427,273280
00000066_(5).jpg,14.0790,16,10,1600x1066,1705600
00000066_(6).jpg,14.9082,16,10,1600x1063,1700800
00000066_(7).jpg,6.5245,16,10,1024x768,786432
00000067.jpg,11.9056,16,10,1600x900,1440000
00000067_(2).jpg,4.8525,16,10,710x799,567290
00000067_(3).jpg,11.7889,16,10,1600x900,1440000
00000067_(4).jpg,5.7343,16,10,1023x720,736560
00000067_(5).jpg,3.5921,16,10,800x532,425600
00000067_(6).jpg,11.2978,16,10,1599x909,1453491
00000067_(7).jpg,6.5762,16,10,1024x785,803840
00000068.jpg,14.5845,16,10,1600x1067,1707200
00000068_(2).jpg,5.5998,16,10,1023x626,640398
00000068_(3).jpg,7.4213,16,10,1024x827,846848
00000068_(4).jpg,6.9249,16,10,1024x768,786432
00000068_(5).jpg,5.5850,16,10,800x800,640000
00000068_(6).jpg,16.4941,16,10,1600x1068,1708800
00000068_(7).jpg,5.1415,16,10,1598x352,562496
00000069.jpg,6.4028,16,10,1024x683,699392
00000069_(2).jpg,788.3855,16,10,1600x1066,1705600
00000069_(3).jpg,17.8436,16,10,1600x1066,1705600
